timestamp,temperature,temp_feel,pressure,humidity,wind_speed,description,type,resource
2014-07-27 11:58:35.449695068+00:00,9.47222222222222,7.388888888888888,1015.13,0.89,14.1197,partly cloudy,rain,test_sarima_daily
2014-08-05 11:58:37.680695068+00:00,10.42222222222222,10.42222222222222,1014.4,0.62,16.985500000000002,partly cloudy,rain,test_sarima_daily
2014-08-06 11:58:37.321695068+00:00,13.77222222222222,13.77222222222222,1007.36,0.6,17.0982,overcast,rain,test_sarima_daily
2014-08-07 11:58:36.254695068+00:00,8.199999999999998,5.072222222222224,1004.8,0.96,20.447,foggy,rain,test_sarima_daily
2014-08-08 11:58:28.982695068+00:00,7.316666666666667,6.211111111111111,1007.07,0.75,6.6654,mostly cloudy,rain,test_sarima_daily
2014-08-09 11:58:33.675695068+00:00,6.622222222222224,4.111111111111111,1012.22,0.85,12.719,mostly cloudy,rain,test_sarima_daily
2014-08-10 11:58:35.180695068+00:00,10.444444444444445,10.444444444444445,1014.75,0.83,2.6404,mostly cloudy,rain,test_sarima_daily
2014-08-11 11:58:29.536695068+00:00,12.266666666666666,12.266666666666666,1016.8,0.69,14.1358,overcast,rain,test_sarima_daily
2014-08-12 11:58:37.622695068+00:00,11.183333333333334,11.183333333333334,1012.6,0.93,6.923,mostly cloudy,rain,test_sarima_daily
2014-08-13 11:58:35.467695068+00:00,9.522222222222222,7.861111111111111,1012.52,0.88,11.27,partly cloudy,rain,test_sarima_daily
2014-08-14 11:58:29.753695068+00:00,14.372222222222222,14.372222222222222,1011.83,0.75,6.5366,overcast,rain,test_sarima_daily
2014-07-28 11:58:35.862695068+00:00,9.555555555555555,8.850000000000001,1015.68,0.8,6.488300000000001,mostly cloudy,rain,test_sarima_daily
2014-08-15 11:58:36.031695068+00:00,11.827777777777776,11.827777777777776,1011.68,0.92,3.0268,partly cloudy,rain,test_sarima_daily
2014-08-16 11:58:27.925695068+00:00,11.52777777777778,11.52777777777778,1016.43,0.96,3.1556,mostly cloudy,rain,test_sarima_daily
2014-08-17 11:58:29.449695068+00:00,9.883333333333333,9.883333333333333,1017.65,0.96,3.3649,foggy,rain,test_sarima_daily
2014-08-18 11:58:29.950695068+00:00,10.555555555555555,10.555555555555555,1015.83,0.95,6.0375000000000005,clear,rain,test_sarima_daily
2014-08-19 11:58:28.646695068+00:00,11.116666666666664,11.116666666666664,1017.04,0.95,3.1717,partly cloudy,rain,test_sarima_daily
2014-08-20 11:58:34.646695068+00:00,12.711111111111112,12.711111111111112,1020.11,0.89,3.2522,clear,rain,test_sarima_daily
2014-08-21 11:58:31.493695068+00:00,13.311111111111112,13.311111111111112,1018.44,0.82,3.5420000000000007,clear,rain,test_sarima_daily
2014-08-22 11:58:37.253695068+00:00,15.444444444444445,15.444444444444445,1013.92,0.72,13.846,mostly cloudy,rain,test_sarima_daily
2014-08-23 11:58:31.676695068+00:00,13.4,13.4,1012.56,0.9,3.5098000000000003,mostly cloudy,rain,test_sarima_daily
2014-08-24 11:58:29.866695068+00:00,12.316666666666668,12.316666666666668,1009.56,0.65,11.1734,partly cloudy,rain,test_sarima_daily
2014-07-29 11:58:37.208695068+00:00,9.216666666666669,8.627777777777778,1014.24,0.9,5.8443000000000005,partly cloudy,rain,test_sarima_daily
2014-08-25 11:58:33.669695068+00:00,11.6,11.6,1011.68,0.57,16.985500000000002,mostly cloudy,rain,test_sarima_daily
2014-07-30 11:58:31.952695068+00:00,9.533333333333331,8.677777777777777,1013.49,0.76,7.084000000000001,partly cloudy,rain,test_sarima_daily
